rank,percentile,smi,score
142,99.295,Cn1cnc2c(NCC(O)c3ccc(-c4ccco4)s3)ncnc21,0.2666
143,99.290,O=C1CC(c2c(Cl)cccc2Cl)c2c(c3ccccc3oc2=O)O1,0.2665
144,99.285,COc1cc(-c2cc(C)c3c(C)nn(C4CCCCC4)c3n2)cc2c1OCO2,0.2661
145,99.280,O=C(O)c1ccc([C@H]2CCCN(Cc3ccc4c(c3)OCCO4)C2)cc1,0.2644
146,99.275,Cc1c(OCC(=O)c2cccc([N+](=O)[O-])c2)ccc2c3c(c(=O)oc12)CCC3,0.2642
147,99.270,OC(C#CCN1CCOCC1)(c1ccccc1)C1CCCC1,0.2640
148,99.265,COc1ccccc1CN1CCC[C@H](CN(CCN(C)C)Cc2nccs2)C1,0.2636
149,99.260,COc1cccc(C(=O)N2c3nc(C4CCCCC4)nn3C3(CCCCC3)[C@@H]3CCCC[C@@H]32)c1,0.2634
150,99.255,COC[C@H](C)C1CCN(Cc2cc(Cl)c(OC)cc2OC)CC1,0.2630
151,99.250,CC1=C(C(=O)OCc2ccc(C)cc2)C(c2c(F)cccc2Cl)CC(=O)N1,0.2620
152,99.245,CCN(CC(=O)N1CCCC(c2nc(C)no2)C1)Cc1ccccc1Cl,0.2618
153,99.240,Cc1nn(-c2ccc(N3CCCCC3)nn2)c(C)c1CCC(=O)Nc1cccc(CN2CCCC2)c1,0.2609
154,99.235,COc1ccc(Nc2nc(Nc3ccc(Cl)cc3C)c3cnn(C)c3n2)c(OC)c1,0.2607
155,99.230,COc1nccnc1N1CCC[C@@]2(CCC(=O)N(Cc3cccnc3)C2)C1,0.2606
156,99.225,CC(C)CN1CCN(S(=O)(=O)c2cccc3ccccc23)C[C@@H]1CCO,0.2602
157,99.220,CCN1c2cc(C)ccc2-n2cccc2C12CCN(C(=O)NCCc1ccccc1)CC2,0.2599
158,99.215,CCn1nc(-c2c[nH]nc2C)nc1[C@H]1OCC(=O)N(C2CC2)[C@@H]1c1ccc(OC)cc1,0.2598
159,99.210,CCOc1ccccc1CNC(=O)Cn1ncc2c(N3CCCCC3)ncnc21,0.2593
160,99.205,CCN(CC)C[C@H](O)COc1ccc(CN2CCCCC23CC3)cc1OC,0.2579
161,99.200,CC1(C)CC2CC(C)(CN2c2nc(-c3ccc([N+](=O)[O-])cc3)nc3ccccc23)C1,0.2569
162,99.195,COc1cc(CN2CCC[C@@]2(C)C(=O)O)ccc1OCC=C(C)C,0.2567
163,99.190,O=S(=O)(c1cc2c(cc1Cl)OCCO2)N1CCC(Oc2cccnc2)C1,0.2564
164,99.185,COc1cccc(-n2cc(C(=O)N(CC(C)C)CC(C)C)c3ccccc3c2=O)c1,0.2549
165,99.180,COc1ccc2c(c1)CCOC21CCN(Cc2cncn2C)CC1,0.2548
166,99.175,CCc1ccc(NC(=O)C2CCCN(c3ccc4cc(S(=O)(=O)N5CCCC5)ccc4n3)C2)cc1,0.2530
167,99.170,COc1ccc([N+](=O)[O-])cc1NC1CCN(CC2CC3C=CC2C3)CC1,0.2529
168,99.165,CCC[C@]1(C(=O)O)CCN(S(=O)(=O)c2ccccc2Cl)C[C@@H]1O,0.2522
169,99.160,O=C(Nc1ccc2c(c1)CN(S(=O)(=O)c1ccccc1)CC2)C1CCCC1,0.2520
170,99.155,CCCCSc1nc(N)cc(N2CC(c3cccnc3)C2)n1,0.2509
171,99.150,CCc1ccc(S(=O)(=O)Nc2ccc3c(c2)N(C(=O)C(C)C)CCC3)cc1,0.2506
172,99.145,Cc1coc2cc3oc(=O)c(-c4ccccc4)cc3cc12,0.2493
173,99.140,Cc1nc(C)c(C(=O)N2CCCN(Cc3ccncc3)C(c3ccccc3)CC(=O)NCC2)s1,0.2488
174,99.135,COc1ccccc1-c1c(C(F)(F)F)oc2cc(OCC#N)ccc2c1=O,0.2486
175,99.130,Cn1ncc2c(N3C[C@H](O)[C@@H](N4CCCC4)C3)nc(C(C)(C)C)nc21,0.2486
176,99.125,CCOC(=O)N1CCC(NC(=O)[C@H]2CC23CCN(Cc2ccc(OC)c(OC)c2Cl)CC3)CC1,0.2485
177,99.120,CCOc1ccc(CCNc2ncnc3sc4c(c23)CCCC4)cc1OCC,0.2482
178,99.115,O=C(C1CCN(C(=O)[C@H](Cc2ccc(O)cc2)c2ccccc2)CC1)N1CCOCC1,0.2481
179,99.110,O=C1C(Cl)=C(N2CCN(S(=O)(=O)c3ccccc3[N+](=O)[O-])CC2)C(=O)c2ccccc21,0.2477
180,99.105,Cc1ccc(C(=O)N2Cc3cc(CN(C4CC4)S(C)(=O)=O)ccc3OC[C@@H]2C)cc1F,0.2472
181,99.100,CCCCN(CCCNC(=O)c1cc(Nc2ccccc2OC)nc2ccccc12)c1ccccc1,0.2472
182,99.095,Cc1nc(CN2CC[C@H](NC(=O)c3ccc(-c4nc[nH]n4)cc3)[C@@H](O)C2)cs1,0.2469
183,99.090,Cc1noc(C)c1S(=O)(=O)N1CCC(CC(=O)N2CCN(C(=O)c3cccs3)CC2)CC1,0.2466
184,99.085,COc1cc(C2NC(=O)NC(C)=C2C(=O)OC2CCCC2)cc([N+](=O)[O-])c1O,0.2459
185,99.080,Cc1cc(C)n(-c2ccc(N3CCC(N(C)Cc4ccncc4)CC3)cc2)n1,0.2450
186,99.075,CCOC(=O)c1c(C)oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc12,0.2443
187,99.070,CC(c1ccc(Cl)cc1)N(C)S(=O)(=O)c1ccccc1Br,0.2441
188,99.065,CC[C@H]1CN(CC(=O)NCc2scnc2-c2ccccc2)Cc2cc(OC)ccc2O1,0.2437
189,99.060,COc1ccc(C(=O)N2C[C@@H]3CN(C(=O)NC(C)C)C[C@]3(c3nc(C)n[nH]3)C2)c(OC)c1,0.2434
190,99.055,CCN(CC)c1ccc(Nc2nc3ccccc3c3nncn23)c(C)c1,0.2433
191,99.050,CCOc1cc(CNCCSc2nnnn2C)cc(Cl)c1OCC,0.2430
192,99.045,CCOC(=O)CCc1c(C)c2ccc(OCc3cccc(OC)c3)cc2oc1=O,0.2414
193,99.040,Cc1cnn(CCC(=O)N2CCC(N3CCC(CC4CC4)(C(N)=O)CC3)CC2)c1,0.2413
194,99.035,CCOc1ccc(S(=O)(=O)N(Cc2ccsc2)C2CC2)cc1F,0.2402
195,99.030,Cc1cc(S(=O)(=O)Nc2ccc(Cl)cc2)ccc1OCC(=O)N1CCCC1,0.2389
196,99.025,CCn1nc(-c2csc(C)n2)nc1CCS(=O)(=O)c1ccc(C)cc1,0.2386
197,99.020,CC(C)Cc1ccc(S(=O)(=O)Nc2cccc(Oc3ncccc3C(=O)NC3CC3)c2)cc1,0.2386
198,99.015,CCCCOc1ccc(NC(=O)c2cccc(Br)c2)cc1,0.2380
199,99.010,CCS(=O)(=O)c1ccc(-c2nc([C@H]3CCO[C@@H]3C(C)(C)C)no2)cc1,0.2379
200,99.005,Cc1cc(=O)c(C(=O)N2CCN(C)CC2)c(CC2CCCC2)n1CCCN1CCCC1=O,0.2375
201,99.000,C[C@]1(C(=O)NCc2cccc(F)c2)CCCN(S(=O)(=O)c2ccccc2C(F)(F)F)C1,0.2363
202,98.995,Ic1ccc(-c2nc(-c3ccc(C#Cc4ccccc4)cc3)c(-c3ccc(C#Cc4ccccc4)cc3)[nH]2)cc1,0.2362
203,98.990,Cc1c(Cl)cccc1S(=O)(=O)N1CCC(C)(C(=O)NCc2ccc3c(c2)OCO3)CC1,0.2360
204,98.985,Cc1cc(C(=O)NC[C@H](O)c2cccc(=O)[nH]2)cc2sc(N)nc12,0.2359
205,98.980,COc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[C@@H]3NC(=O)c2cccs2)cc1Cl,0.2349
206,98.975,CCN(CC(=O)NCc1ccc(F)cc1)Cc1cc(=O)oc2c(C)c(O)ccc12,0.2344
207,98.970,COc1cc2c(cc1OC)CN(c1nccn3nc(C4CC4)cc13)CC2,0.2342
208,98.965,C=CCNc1nc(C2(c3ccccc3)CCN(Cc3cncs3)CC2)cs1,0.2339
209,98.960,C=CCc1cc(OC)ccc1OCCCCNCCCOC,0.2336
210,98.955,O=C(CC[C@H]1CCCN(Cc2cc3c(cc2Cl)OCO3)C1)N1CCCC1,0.2336
211,98.950,COc1ccc(C2C(=O)N(C3CCC(C)CC3)CC(=O)N2Cc2cccs2)cc1OC,0.2336
212,98.945,CCOc1cc(C)c(Cl)cc1S(=O)(=O)NCc1cccnc1,0.2330
213,98.940,Cc1ccc(S(=O)(=O)Cc2nc(-c3ccc(C(=O)NCCc4cccs4)cc3)oc2C)cc1,0.2325
214,98.935,CCCOc1cc(S(=O)(=O)NCCCN2CCOCC2)ccc1Cl,0.2322
215,98.930,CCc1sc(N(C(=O)C2CCCCC2)c2ccccc2OC)nc1-c1ccccc1,0.2320
216,98.925,O=C(NC1CCCCC1)C1CCCN(c2ccc3cc(S(=O)(=O)N4CCCCC4)ccc3n2)C1,0.2320
217,98.920,CCCCOc1ccc(CSCCNC(=S)Nc2ccccc2)cc1Cl,0.2318
218,98.915,COc1ccc(C2(C(=O)N3CCCC(OCc4noc(C)n4)C3)CC2)cc1,0.2316
219,98.910,COc1cccc(-c2cc(C)c3c(ccc4ccccc43)n2)c1OC,0.2302
