cid,smiles,molecular_weight
2797,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,214.64
2799,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl,365.3
2801,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,314.9
2803,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,230.09
2804,CC1CCCC(N1NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N)C,345.8
2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,344.8
2816,C1COC2(N1CC(=O)NC3=C2C=C(C=C3)Cl)C4=CC=CC=C4Cl,349.2
2817,C1=CC2=C(C=CC(=C2N=C1)O)Cl,179.60
2871,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,362.8
2879,CC1=CC=C(C=C1)O,108.14
2893,CC1CC(CC(C1)(C)C)OC(=O)C(C2=CC=CC=C2)O,276.4
2898,CC(=O)OC1=CC=C(C=C1)C(=C2CCCCC2)C3=CC=C(C=C3)OC(=O)C,364.4
2904,C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,379.9
2910,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,389.9
2912,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,416.3
2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,287.4
2943,COC(=O)C1=C(C(=C(C(=C1Cl)Cl)C(=O)OC)Cl)Cl,332.0
2950,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,240.21
2955,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,248.30
2969,CCCCCCCCCC(=O)O,172.26
2972,CC1=C(C(=O)C=CN1C)O,139.15
2997,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,270.71
