target,input_id,r_epik_Population,r_epik_State_Penalty,r_epik_acidic_macro-pKa_1,r_epik_acidic_macro-pKa_2,"r_epik_macro-pKa_(-1,0)","r_epik_macro-pKa_(-2,-1)",r_i_docking_score,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_erotb,r_i_glide_esite,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_hbond,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa,r_i_glide_lipo,r_i_glide_metal,r_i_glide_rewards
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00249,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-7.914474774249898,-5.620365243190374,0.0018912202000829093,1.6486770496073513,-43.220796846301326,-26.532321681621255,0.6537926348342753,0.0,-20.91195643843088,-7.916365994449981,-0.32,-0.4655573396617587,-2.0647102219139692,-1.1970790168681034,-3.6917088551972568,-0.0,-2.6697971656868984
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00293,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-7.777186748316882,-3.77181986152834,0.0018912202000829093,1.8269185341380307,-43.13431396204457,-26.83867207915208,0.4576548443839927,0.0,-23.06685221762374,-7.779077968516964,-0.21248951834333382,-0.4574815734304048,-2.028894833202069,-1.1763139478269637,-3.765535729041038,-0.0,-2.539591975406147
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00296,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-7.758566066178922,-3.4822358666369144,0.0018912202000829093,2.230574166749964,-44.880692736558586,-28.8280718812614,0.6537926348342753,0.0,-25.345836014624485,-7.760457286379005,-0.22663111793758645,-0.4563862391869954,-2.024037111894479,-1.1734975350512675,-3.7804677550584813,-0.0,-2.61752386749045
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00297,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-7.754134577400582,-4.724497329161999,0.0018912202000829093,1.3138880889428002,-44.40954242135051,-27.908381994725218,0.6537926348342753,0.0,-23.18388466556322,-7.756025797600665,-0.29504846387877964,-0.45612556337650484,-2.0228810351566135,-1.1728272641386233,-3.773740436816637,-0.0,-2.473160699087061
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00306,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-7.721517709255787,-3.070931735057301,0.0018912202000829093,1.5726526971063706,-44.06329421780289,-27.76367207381756,0.6537926348342753,0.0,-24.69274033876026,-7.72340892945587,-0.20692817328667798,-0.4542069240738698,-2.0143720205995783,-1.1678939022206445,-3.825855139729957,-0.0,-2.6491414740769015
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00309,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-7.702913559817807,-1.165002481065624,0.0018912202000829093,3.0253629014378074,-42.86985743348342,-27.337747028836347,0.6537926348342753,0.0,-26.172744547770723,-7.70480478001789,-0.4809882713739528,-0.4531125623422239,-2.009518612305248,-1.1650799900465425,-3.641677703020741,-0.0,-2.752543840909091
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00312,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-7.69066370425829,-1.7401766289308265,0.0018912202000829093,2.5630695784813406,-44.80357980594294,-29.06742222439015,0.6537926348342753,0.0,-27.327245595459324,-7.692554924458372,-0.21482919321552157,-0.45239198260342883,-2.0063228977806413,-1.1632271766295772,-3.751585751055444,-0.0,-2.752543840909091
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00346,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-7.449295794651876,-1.288845003558522,0.0018912202000829093,1.324714694332485,-45.841982033977125,-30.020608077147568,0.6537926348342753,0.0,-28.731763073589047,-7.451187014851959,-0.09088578947108011,-0.43819387027363976,-1.9433553851634062,-1.1267198317738931,-3.6316351150928328,-0.0,-2.752543840909091
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00353,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-7.41129953895995,0.10257124067438347,0.0018912202000829093,1.7203439742923852,-44.01608457401196,-28.47658167235302,0.6537926348342753,0.0,-28.579152913027404,-7.413190759160033,0.0,-0.4359587964094088,-1.9334430081883955,-1.1209728274930346,-3.9184613528174217,-0.0,-2.7349500816266734
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00065,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.683146513503013,-6.237187855772905,0.0018912202000829093,1.531084828878699,-52.89360209354751,-35.826070233983465,0.6537926348342753,0.0,-29.588882378210563,-8.685037733703096,-0.4365622427711163,-0.5107733243237067,-2.2652395612070766,-1.3133420458328553,-3.7347019875806997,-0.0,-2.752543840909091
